,Sentence,Type,Story
214,"לאירה  3  כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה שחור עגול.",Descriptive,generated
215,"לאירה יש כתם לידה שנמצא בחלק  התחתון  של הצוואר, כתם הלידה שחור עגול.",Descriptive,generated
216,"לאירה יש כתם לידה שנמצא בחלק  העליון  של הצוואר, כתם הלידה שחור עגול.",Descriptive,generated
217,"לאירה יש כתם לידה שנמצא בחלק  האחורי  של הצוואר, כתם הלידה שחור עגול.",Descriptive,generated
218,"לאירה יש כתם לידה שנמצא בחלק  השמאלי  של הצוואר, כתם הלידה שחור עגול.",Descriptive,generated
219,"לאירה יש כתם לידה שנמצא בחלק  הימני  של הצוואר, כתם הלידה שחור עגול.",Descriptive,generated
220,"לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה  לידה  עגול.",Descriptive,generated
221,"לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה  הרחם  עגול.",Descriptive,generated
222,"לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה  הלבן  עגול.",Descriptive,generated
223,"לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה  השחור  עגול.",Descriptive,generated
224,"לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה  שלה  עגול.",Descriptive,generated
225,"לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה שחור ! ",Descriptive,generated
226,"לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה שחור ? ",Descriptive,generated
227,"לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה שחור  בתמונה ",Descriptive,generated
228,"לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה שחור  לבן ",Descriptive,generated
229,"לאירה יש כתם לידה שנמצא בחלק האחורי של הצוואר, כתם הלידה שחור  שחור ",Descriptive,generated
230,"לאתא  ה  שומה על המצח, גודל השומה אינו כה גדול.",Descriptive,generated
231,"לאתא !  שומה על המצח, גודל השומה אינו כה גדול.",Descriptive,generated
232,"לאתא  1  שומה על המצח, גודל השומה אינו כה גדול.",Descriptive,generated
233,"לאתא  א  שומה על המצח, גודל השומה אינו כה גדול.",Descriptive,generated
234,"לאתא  ת  שומה על המצח, גודל השומה אינו כה גדול.",Descriptive,generated
235,"לאתא יש שומה על המצח, גודל  המצח  אינו כה גדול.",Descriptive,generated
236,"לאתא יש שומה על המצח, גודל  החזה  אינו כה גדול.",Descriptive,generated
237,"לאתא יש שומה על המצח, גודל  המספר  אינו כה גדול.",Descriptive,generated
238,"לאתא יש שומה על המצח, גודל  שומה  אינו כה גדול.",Descriptive,generated
239,"לאתא יש שומה על המצח, גודל  השד  אינו כה גדול.",Descriptive,generated
240,"לאתא יש שומה על המצח, גודל השומה !  כה גדול.",Descriptive,generated
241,"לאתא יש שומה על המצח, גודל השומה  שלך  כה גדול.",Descriptive,generated
242,"לאתא יש שומה על המצח, גודל השומה ?  כה גדול.",Descriptive,generated
243,"לאתא יש שומה על המצח, גודל השומה  שלי  כה גדול.",Descriptive,generated
244,"לאתא יש שומה על המצח, גודל השומה  שומה  כה גדול.",Descriptive,generated
245,"לאתא יש שומה על המצח, גודל השומה אינו כה ? ",Descriptive,generated
246,"לאתא יש שומה על המצח, גודל השומה אינו כה ! ",Descriptive,generated
247,"לאתא יש שומה על המצח, גודל השומה אינו כה  1 ",Descriptive,generated
248,"לאתא יש שומה על המצח, גודל השומה אינו כה  2 ",Descriptive,generated
249,"לאתא יש שומה על המצח, גודל השומה אינו כה  א ",Descriptive,generated
